"id";"distance";"period";"nb_tourism";"french";"europe";"asia";"america";"pacific";"hub";"mois";"annee";"oct";"nov";"dec";"fev";"mar";"avr";"mai";"jui";"juil";"aou";"sep";"expedia";"tahiti_tourism";"french_bee";"united_airl";"Tx_change";"brent";"dist_oil";"name";"price";"tahiti";"lnb_tourism";"ldist_oil";"lprice"
"Mexique";6848;"8/2014";29;0;0;0;1;0;0;"8";"2014";0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1.3391;76.54;524145.92;"Mexique82014";102.2812;"PF";3.40119738166216;13.1695253978191;4.62772588285318
"Mexique";6848;"9/2014";58;0;0;0;1;0;0;"9";"2014";0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1.3138;75.52;517160.96;"Mexique92014";103.9857;"PF";4.07753744390572;13.1561094396588;4.64425338968738
"Mexique";6848;"10/2014";75;0;0;0;1;0;0;"10";"2014";1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1.2631;68.87;471621.76;"Mexique102014";99.98816;"PF";4.33073334028633;13.0639325873782;4.60505177897826
"Mexique";6848;"11/2014";118;0;0;0;1;0;0;"11";"2014";0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1.2517;62.9;430739.2;"Mexique112014";101.0058;"PF";4.77912349311153;12.973258081528;4.61517794093504
"Mexique";6848;"12/2014";135;0;0;0;1;0;0;"12";"2014";0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1.2456;50.55;346166.4;"Mexique122014";96.72984;"PF";4.91265488573605;12.7546748632881;4.57192193810439
"Mexique";6848;"1/2015";55;0;0;0;1;0;0;"1";"2015";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1.2101;41.46;283918.08;"Mexique12015";95.53473;"PF";4.02535169073515;12.5564410248292;4.55948984629809
"Mexique";6848;"2/2015";70;0;0;0;1;0;0;"2";"2015";0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1.1284;51.06;349658.88;"Mexique22015";97.84203;"PF";4.26267987704132;12.7647133296349;4.58335423932394
"Mexique";6848;"3/2015";105;0;0;0;1;0;0;"3";"2015";0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1.1187;51.5;352672;"Mexique32015";99.56091;"PF";4.66343909411207;12.7732937254913;4.60076961767457
"Mexique";6848;"4/2015";63;0;0;0;1;0;0;"4";"2015";0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1.0736;55.11;377393.28;"Mexique42015";102.5333;"PF";4.15888308335967;12.8410431057167;4.6301876238658
"Mexique";6848;"5/2015";85;0;0;0;1;0;0;"5";"2015";0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1.1222;57.87;396293.76;"Mexique52015";102.5019;"PF";4.45434729625351;12.8899110334073;4.62988133499203
"Mexique";6848;"6/2015";44;0;0;0;1;0;0;"6";"2015";0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1.0989;55.6;380748.8;"Mexique62015";102.2403;"PF";3.80666248977032;12.8498951190781;4.62732592489722
"Mexique";6848;"7/2015";106;0;0;0;1;0;0;"7";"2015";0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1.1139;50.83;348083.84;"Mexique72015";102.1918;"PF";4.67282883446191;12.7601986492804;4.62685143971696
"Mexique";6848;"8/2015";72;0;0;0;1;0;0;"8";"2015";0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1.0972;42.2;288985.6;"Mexique82015";99.6887;"PF";4.29045944114839;12.5741321388635;4.60205233052427
"Mexique";6848;"9/2015";54;0;0;0;1;0;0;"9";"2015";0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1.121;42.09;288232.32;"Mexique92015";97.80246;"PF";4.00733318523247;12.5715221006041;4.58294973009866
"Mexique";6848;"10/2015";149;0;0;0;1;0;0;"10";"2015";1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1.1176;42.86;293505.28;"Mexique102015";100.7455;"PF";5.01063529409626;12.589650907867;4.61259753481687
"Mexique";6848;"11/2015";117;0;0;0;1;0;0;"11";"2015";0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1.1015;41.32;282959.36;"Mexique112015";101.3236;"PF";4.77068462446567;12.553058562073;4.61831935549318
"Mexique";6848;"12/2015";141;0;0;0;1;0;0;"12";"2015";0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1.0567;34.68;237488.64;"Mexique122015";98.03479;"PF";4.95582705760126;12.3778750697339;4.58532241567298
"Mexique";6848;"1/2016";78;0;0;0;1;0;0;"1";"2016";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1.0862;28.37;194277.76;"Mexique12016";94.51711;"PF";4.36944785246702;12.1770441666423;4.5487808763117
"Mexique";6848;"2/2016";53;0;0;0;1;0;0;"2";"2016";0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1.0833;29.94;205029.12;"Mexique22016";98.37255;"PF";3.98898404656427;12.2309072968131;4.58876180172604
"Mexique";6848;"3/2016";88;0;0;0;1;0;0;"3";"2016";0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1.0872;35.21;241118.08;"Mexique32016";102.7831;"PF";4.48863636973214;12.3930420509885;4.63262094261926
