Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","29","Burundi","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","10487.995","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","29","Burundi","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","10827.019","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","35","Cabo Verde","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","531.146","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","35","Cabo Verde","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","537.498","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","115","Cambodge","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","15766.292","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","115","Cambodge","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","16009.409","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","32","Cameroun","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","23926.551","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","32","Cameroun","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","24566.073","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","33","Canada","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","36382.944","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","33","Canada","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","36732.095","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","40","Chili","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","18209.068","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","40","Chili","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","18470.439","X","Sources internationales sûres",""
