Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5611","Importations - Quantité","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","796.48","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5072","Variation de stock","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","100","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5072","Variation de stock","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5911","Exportations - Quantité","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","1144.76","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5911","Exportations - Quantité","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","707.87","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5301","Disponibilité intérieure","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","233.79","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5301","Disponibilité intérieure","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","219.18","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5521","Aliments pour animaux","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","5.18","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5521","Aliments pour animaux","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","13.47","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5154","Autres utilisations (non alimentaire)","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5154","Autres utilisations (non alimentaire)","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
